feature,importance
ret,0.03353939587408248
logret,0.03110288597991664
sma_50,0.013976665257336983
sma_10,0.013125017562491754
sma_100,0.009024325414485565
Close,0.006597734174596734
sma_5,0.005838924845793511
sma_20,0.004327780909433192
sma_200,0.0033665039756832545
prc_sma_5,0.0028695524755952217
pctB_20,0.0017471218574905028
logret_lag1,0.0016903432586498064
prc_sma_50,0.0012258598660966856
logret_lag2,0.0011306003991775205
prc_sma_100,0.0010930935414723724
prc_sma_10,0.0009518653853869913
logret_lag3,0.0006814900424622968
roll_std_5,0.0005460303874947077
prc_sma_200,0.0005246001048662932
prc_sma_20,0.0005172457144165007
dow_sin,0.0004702465562056491
roll_mean_20,0.00045721987849557015
rsi_14,0.00040968082772868073
roll_std_10,0.0004070108569119258
dow,0.00038385456645876947
